id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1240153467131486208,Wed Mar 18 05:50:02 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @islaminind: How can we, as Ahmadi Muslims propagate the message of Islam at our school?

Beautiful guidance by our beloved Imam

#Khali…",How Ahmadi Muslims propagate message Islam school Beautiful guidance beloved Imam …,"Sentiment(polarity=0.7749999999999999, subjectivity=1.0)",0.7749999999999999,1.0,en,0,1,imransaab9,,,islaminind,,
1240153451574841344,Wed Mar 18 05:49:58 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @zzxyxy: I have and can’t wait for them to put me on a journey where we all think alike and work towards taking our house back and Re-el…,I ’ wait put journey think alike work towards taking house back Re-el…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,14,Yuri95879214,,,zzxyxy,United States,
1240153436559216643,Wed Mar 18 05:49:54 +0000 2020,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Please #Sing with me... !!!!.. #Again!! I woke up like this!!!! 👊🏾💥💫☄️🚀🛫✈️🛬🏖🏝🏔🏡💸💵💴💰💳💎💷 ! Yo!!!!!!C⚡️R⚡️E⚡️A⚡️T⚡️I⚡️… https://t.co/gpMBNVLSe0,Please ... .. I woke like ️️ Yo C️R️E️A️T️I️…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,1,KingRappaDZappa,False,"Sing, Again",,"Seattle, WA",
1240153417558958082,Wed Mar 18 05:49:50 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @solmullersch: Please #RT  my book, A Click That Changed My Life, TRUE STORY #IARTG She is in for the biggest surprise of her life #Love…",Please book A Click That Changed My Life TRUE STORY She biggest surprise life …,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,0,6648,mesegyar,,"RT, IARTG, Love",solmullersch,Hungary,
1240153410005012481,Wed Mar 18 05:49:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anybody looking for some fun ;) 😘
#single #lonelygirl #kissme #pics #love #daddy",Anybody looking fun,"Sentiment(polarity=0.3, subjectivity=0.2)",0.3,0.2,en,0,0,maddie96578049,,"single, lonelygirl, kissme, pics, love, daddy",,,
1240153212189052929,Wed Mar 18 05:49:01 +0000 2020,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",He’s really great at rescuing people. And so-we can trust Him in every single circumstance because He alone is fait… https://t.co/2RMjLlV2Kg,He ’ really great rescuing people And so-we trust Him every single circumstance He alone fait…,"Sentiment(polarity=0.3642857142857143, subjectivity=0.48214285714285715)",0.3642857142857143,0.48214285714285715,en,0,0,1hope_1life,False,,,"Denver, CO","[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]"
1240153207898279937,Wed Mar 18 05:49:00 +0000 2020,"<a href=""https://www.persephoneschair.com"" rel=""nofollow"">IndieGameNetworkBot</a>",RT @RaelleLogan1: A Pirate's Past may Shatter his Future #gamedev #booklovers #books #romance #book #Romance #historicalromance #weekendrea…,A Pirate 's Past may Shatter Future …,"Sentiment(polarity=-0.125, subjectivity=0.1875)",-0.125,0.1875,en,0,3,NetworkIndie,,"gamedev, booklovers, books, romance, book, Romance, historicalromance",RaelleLogan1,,
1240153174746574850,Wed Mar 18 05:48:52 +0000 2020,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","Love Not The World. III.
#God #life #love #WAY #faith
https://t.co/549UmsFVHI",Love Not The World III,"Sentiment(polarity=0.5, subjectivity=0.6)",0.5,0.6,en,0,0,cwdotcenter,False,"God, life, love, WAY, faith",,,
1240153154165104640,Wed Mar 18 05:48:47 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @RaelleLogan1: A Pirate's Past may Shatter his Future #gamedev #booklovers #books #romance #book #Romance #historicalromance #weekendrea…,A Pirate 's Past may Shatter Future …,"Sentiment(polarity=-0.125, subjectivity=0.1875)",-0.125,0.1875,en,0,3,file2save,,"gamedev, booklovers, books, romance, book, Romance, historicalromance",RaelleLogan1,,
1240153151275237376,Wed Mar 18 05:48:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Love brings comfort and it is beautiful. But for me and probably many others love is not enough. I need to accompli… https://t.co/2LTPhqmPoc,Love brings comfort beautiful But probably many others love enough I need accompli…,"Sentiment(polarity=0.47000000000000003, subjectivity=0.64)",0.47000000000000003,0.64,en,0,0,shinurevelin,,,,"Nagercoil, India",
